sep=,
122,"UC Irvine Anteaters",39,78.9,100,75.5,0.956,57.5,26.1,31.4,45.3,51.6,15.2,14.5,0.36,9.8,44,37.5,18.9,18.6,50.4,20,7.2,12.8,35.8,0.35
122,"Arkansas Razorbacks",36,80.2,100,76.7,0.956,59.3,27.2,32.1,45.8,51.8,14.2,14.3,0.35,10.6,44.4,37.8,20.1,17.7,53.2,21.4,7.1,14.4,32.9,0.36
122,"Baylor Bears",35,79.2,100,75.7,0.956,60.7,27,33.7,44.5,51.4,12.7,12.6,0.29,9.3,43.5,36.4,18.6,17.8,51.2,24.3,8.4,15.9,34.4,0.4
122,"Rhode Island Rams",31,81.2,100,77.6,0.956,57.5,26.7,30.8,46.4,53.1,15.3,16.6,0.42,11.4,44.8,35.8,19.1,16.7,53.3,21.7,7.6,14.1,35.1,0.38
126,"Longwood Lancers",32,81.4,100,77.8,0.955,57.4,26.5,30.9,46.1,51.7,14.9,17,0.44,12.4,45.3,37.8,20,17.8,53,19.6,6.4,13.1,32.9,0.34
126,"Maine Black Bears",34,74,100,70.7,0.955,56.9,26.3,30.7,46.1,51.9,13.1,11.6,0.28,8.5,44,38.4,19.6,18.8,51.1,18.5,6.6,11.9,35.8,0.32
128,"Oral Roberts Golden Eagles",30,76,100,72.5,0.954,56.5,24.4,32.1,43.2,51.5,14.5,14.1,0.34,10.8,41.9,30.5,15.1,15.4,49.5,26,9.3,16.7,35.9,0.46
128,"Notre Dame Fighting Irish",33,76,100,72.5,0.954,57.5,25.8,31.8,44.8,51.4,13.6,13.2,0.31,9.9,43.7,35.8,18.2,17.7,50.6,21.7,7.6,14.1,35.1,0.38
130,"Ball State Cardinals",31,78.5,100,74.9,0.953,55.8,25.1,30.6,45.1,51.4,14.4,17.4,0.45,12.5,44.8,35,18,17,51.5,20.8,7.1,13.7,34.2,0.37
131,"Kansas Jayhawks",34,79.9,100,76.1,0.952,61.6,28.9,32.7,46.9,52.9,14.2,10.4,0.24,7.8,43.7,40.5,21.4,19,53,21.1,7.4,13.7,35.2,0.34
132,"Illinois-Chicago Flames",32,80.3,100,76.3,0.95,59.5,27,32.4,45.5,52.4,14.5,13.3,0.33,8.8,43.6,35.9,18.8,17.1,52.4,23.6,8.2,15.3,34.9,0.4
132,"Michigan Wolverines",37,82,100,77.9,0.95,58.5,27.3,31.2,46.6,53.6,16.5,14.1,0.36,9.3,43.7,33.9,19.1,14.7,56.5,24.6,8.1,16.5,33,0.42
134,"Saint Joseph's Hawks",35,78.9,100,74.9,0.949,59.4,25.9,33.5,43.6,51.4,13.9,12.9,0.31,9.3,42.2,31.7,16.7,15,52.7,27.7,9.2,18.5,33.3,0.47
134,"Holy Cross Crusaders",32,73.3,100,69.6,0.949,56.5,25.7,30.8,45.5,53.6,15.3,9.2,0.22,6.8,41.9,32.8,16.6,16.2,50.6,23.7,9.1,14.5,38.6,0.42
136,"Manhattan Jaspers",31,80.2,100,76,0.948,60.7,26.5,34.3,43.6,50.6,13.5,13,0.31,9.3,42.6,35.5,17.9,17.6,50.4,25.3,8.6,16.7,34,0.42
136,"Texas-(San Antonio) Roadrunners",31,80.5,100,76.3,0.948,62.3,26.2,36.1,42,50,12.4,11.9,0.28,9.4,41.8,34.6,16.3,18.3,47.1,27.7,9.9,17.8,35.7,0.44
136,"Princeton Tigers",30,77.6,100,73.5,0.948,60.9,26.3,34.6,43.2,51.8,12.7,10.1,0.24,7.7,41.5,31.3,15.8,15.5,50.4,29.6,10.5,19.1,35.5,0.49
139,"New Mexico Lobos",35,84.8,100,80.3,0.947,63.1,28.8,34.3,45.7,51.2,13.1,14.9,0.36,10.4,44.7,42.9,21.8,21,50.9,20.2,7,13.2,34.5,0.32
139,"Howard Bison",32,81.8,100,77.4,0.947,58,26.7,31.3,46,53.4,17.5,14.3,0.36,10.4,42.9,34.5,18.1,16.4,52.5,23.5,8.6,14.9,36.5,0.4
141,"Memphis Tigers",35,83.8,100,79.3,0.946,59.7,28,31.7,46.9,53.1,16.1,15,0.38,10.7,44.4,39.9,20.6,19.4,51.5,19.7,7.4,12.3,37.6,0.33
141,"Stanford Cardinal",35,77.2,100,73.1,0.946,59.1,25.5,33.6,43.1,50.2,12.7,12.3,0.29,9.1,42.8,34.4,17.1,17.2,49.9,24.8,8.4,16.4,33.8,0.42
141,"Weber State Wildcats",34,75.1,100,71,0.946,56.4,25.4,30.9,45.1,51.7,13.5,13.2,0.32,10.1,43.4,34.8,18.1,16.7,51.9,21.6,7.4,14.2,34.2,0.38
144,"Georgia Bulldogs",33,79.5,100,75.1,0.945,56.7,26,30.7,45.9,52,15.5,15.5,0.39,10.4,44,35.7,19.1,16.6,53.5,21,6.9,14.1,32.9,0.37
144,"Valparaiso University",34,78.8,100,74.5,0.945,60.6,25.7,34.9,42.4,48.7,11.9,13.3,0.32,9.5,43,37.4,17.9,19.5,47.9,23.2,7.7,15.4,33.4,0.38
144,"Rutgers Scarlet Knights",32,81.7,100,77.2,0.945,60.8,27,33.8,44.5,50.4,13.1,15,0.36,10.5,43.8,38.7,19.8,18.9,51.1,22.1,7.3,14.8,32.9,0.36
147,"Bryant University Bulldogs",35,86.2,100,81.4,0.944,66,30,36,45.5,51.3,13.1,12.2,0.29,8.9,43.9,42.7,22.3,20.4,52.2,23.3,7.7,15.5,33.2,0.35
147,"Northern Arizona Lumberjacks",34,79.9,100,75.4,0.944,62.2,28,34.2,45.1,51.5,12.2,11.9,0.28,8.7,43.3,38.9,20,18.9,51.4,23.3,8.1,15.3,34.6,0.37
147,"George Mason Patriots",36,75.2,100,71,0.944,53.3,24.1,29.2,45.2,51.8,15.8,16.1,0.42,11.2,43.9,33.4,17.1,16.3,51.2,19.8,7,12.8,35.2,0.37
147,"Utah Valley Wolverines",34,80,100,75.5,0.944,57.7,26.7,31,46.3,51.6,14.2,16.2,0.4,11.3,45.1,39.4,20.7,18.7,52.5,18.3,6,12.2,33,0.32
147,"Lehigh Mountain Hawks",30,74.5,100,70.3,0.944,56.2,25.2,31,44.9,51.9,13.6,12.8,0.31,9,43.2,34.8,17.4,17.5,49.9,21.4,7.9,13.5,36.8,0.38
147,"Bucknell Bison",33,77.9,100,73.5,0.944,56.2,26,30.2,46.3,53.5,15.5,14.2,0.36,9,43.5,33.2,17.9,15.3,53.9,22.9,8.1,14.8,35.3,0.41
153,"Central Michigan Chippewas",31,79.8,100,75.3,0.943,58.3,26.9,31.4,46.2,51.6,14.6,14.6,0.36,10.2,44.4,38.6,20.5,18.1,53.1,19.6,6.4,13.3,32.5,0.34
153,"American University Eagles",35,72.4,100,68.3,0.943,54.4,23.9,30.5,44,51.8,14.4,11.9,0.29,8,42.4,29.8,15.4,14.4,51.6,24.6,8.5,16.1,34.7,0.45
155,"San Jose State Spartans",35,76.3,100,71.9,0.942,57.5,25.4,32.1,44.2,51.2,13.9,12.6,0.31,10,42.8,34.1,17.3,16.8,50.8,23.3,8.1,15.3,34.5,0.41
155,"Southeast Missouri State Redhawks",32,78,100,73.5,0.942,59.7,27.1,32.6,45.3,51.5,13.4,11.3,0.28,8.5,43.5,37.8,19.8,18,52.3,21.9,7.3,14.6,33.3,0.37
155,"Arkansas State Red Wolves",36,84,100,79.1,0.942,64.8,27.3,37.5,42.2,49.4,11.6,12.9,0.32,10,42.7,35.5,17.9,17.6,50.4,29.3,9.4,19.9,32.2,0.45
155,"Youngstown State Penguins",34,80.7,100,76,0.942,59.7,25.9,33.9,43.3,50.6,14.1,14.4,0.36,9.6,42.6,32.4,17.1,15.2,52.9,27.4,8.7,18.6,31.9,0.46
159,"Northwestern Wildcats",33,76.4,100,71.8,0.94,58.8,25.9,32.9,44,49.7,12.2,13.2,0.31,9.6,43.6,38.5,19.2,19.3,49.8,20.3,6.7,13.6,33.1,0.35
160,"Idaho Vandals",32,77.3,100,72.6,0.939,56.9,24.6,32.3,43.3,51.5,15.1,12.9,0.33,8.9,41.7,29.6,15.3,14.4,51.5,27.3,9.4,17.9,34.4,0.48
160,"Eastern Kentucky Colonels",32,82.4,100,77.4,0.939,65.5,27.5,38,42,49.3,11.1,11.2,0.26,8,41.8,37.7,18,19.7,47.7,27.8,9.6,18.3,34.3,0.43
162,"Niagara Purple Eagles",31,72.3,100,67.8,0.938,53.5,24,29.5,44.8,52.3,15.8,12.4,0.3,9.1,42,30.4,15.9,14.5,52.4,23.1,8.1,15.1,34.9,0.43
162,"Charlotte 49ers",33,75.1,100,70.5,0.938,55.2,23,32.2,41.7,48.1,12.3,16.8,0.42,12.3,43.3,32.3,16,16.3,49.6,22.8,7,15.8,30.6,0.41
162,"Saint Mary's Gaels",35,77.3,100,72.5,0.938,59.8,26.8,33,44.8,50.1,11.7,13.2,0.3,9.8,43.8,39.6,20.4,19.2,51.5,20.2,6.4,13.8,31.7,0.34
162,"Campbell Fighting Camels",33,73.6,100,69.1,0.938,56.2,24.5,31.7,43.6,50.3,13.2,12.6,0.29,9.7,42.5,33.1,17.1,16,51.6,23.2,7.5,15.7,32.2,0.41
162,"Robert Morris Colonials",35,81.9,100,76.7,0.938,59.6,26.7,32.9,44.8,51.1,14.8,14.8,0.37,10.2,43.6,37.7,19.1,18.6,50.6,21.9,7.6,14.3,34.6,0.37
167,"Texas State Bobcats",31,80,100,74.9,0.937,59,26.7,32.3,45.3,50.2,14.2,14.3,0.35,10.9,44,42.6,20.8,21.8,48.9,16.4,5.9,10.5,35.8,0.28
168,"Arizona State Sun Devils",33,78.6,100,73.5,0.935,57.5,25.2,32.3,43.8,51.3,14.8,14.1,0.35,10.6,42.6,33.2,16.5,16.6,49.8,24.3,8.6,15.7,35.5,0.42
168,"Sam Houston State Bearkats",32,79.9,100,74.7,0.935,58.2,25.7,32.5,44.1,51.5,15.4,13.9,0.35,10.5,42.1,35.7,17.1,18.6,47.9,22.5,8.6,13.9,38.1,0.39
168,"Elon Phoenix",33,77.9,100,72.8,0.935,56.4,24.7,31.7,43.8,50.7,15.1,14.7,0.37,10.3,42.8,32.5,16.8,15.7,51.8,23.9,7.8,16,32.9,0.42
168,"Queens University of Charlotte Royals",35,80.9,100,75.6,0.935,59.4,26.4,33,44.5,52.1,15,13.8,0.34,10,42.2,33.1,17.3,15.8,52.3,26.3,9.1,17.2,34.6,0.44
168,"Eastern Washington Eagles",32,76,100,71,0.935,56.1,25.5,30.6,45.5,51.5,15.7,12.4,0.3,8.6,42.9,35.3,18.8,16.6,53.1,20.8,6.8,14,32.5,0.37
173,"Eastern Michigan Eagles",31,78,100,72.9,0.934,57.2,25.9,31.4,45.2,51.8,15.6,13.2,0.32,8.4,42.8,35.3,18.3,16.9,52,22,7.5,14.4,34.4,0.38
173,"Middle Tennessee State Blue Raiders",34,81.7,100,76.4,0.934,61.6,27.6,33.9,44.9,51,13.2,13.6,0.33,10.4,43.3,37.5,20.1,17.4,53.7,24,7.5,16.5,31.2,0.39
175,"Loyola Marymount Lions",32,75.6,100,70.6,0.933,58.3,25.5,32.8,43.7,50.5,13,11.9,0.28,8.6,42.4,34.5,17.6,16.9,51,23.8,7.9,15.9,33.1,0.41
175,"DePaul Blue Demons",34,77.2,100,72,0.933,58.1,25.9,32.3,44.5,52.4,15.3,11.3,0.27,9,41.4,31.4,16.6,14.8,53,26.7,9.2,17.5,34.5,0.46
175,"Grand Canyon University Antelopes",34,83.2,100,77.6,0.933,58.6,26.5,32.1,45.3,50.5,15.1,16.5,0.43,11.7,44.6,38.7,20.4,18.3,52.6,19.9,6.2,13.8,31,0.34
178,"Murray State Racers",33,76.2,100,70.9,0.932,55.2,23.6,31.6,42.8,49.6,13.8,16,0.4,11.5,43.2,33.2,16.1,17.1,48.6,22.1,7.5,14.5,34.1,0.4
179,"Virginia Military Keydets",34,78.4,100,73,0.931,57.6,24.4,33.1,42.5,50.2,14.4,13.8,0.35,9,41.8,30.1,15.6,14.5,51.7,27.5,8.9,18.6,32.3,0.48
179,"Cleveland State Vikings",36,77.1,100,71.8,0.931,58.6,26.4,32.1,45.1,50.6,13.8,12.6,0.3,9.3,43.3,39.5,20,19.5,50.7,19.1,6.4,12.7,33.5,0.33
179,"George Washington Revolutionaries",34,78.6,100,73.2,0.931,56.3,25,31.3,44.4,51,15.3,15.9,0.4,12.2,43.2,32.6,17.6,15,53.9,23.7,7.4,16.3,31.4,0.42
179,"Cal State Northridge Matadors",33,85.2,100,79.3,0.931,62,28.7,33.3,46.3,51.7,15.6,14.2,0.34,9.9,43.6,42.5,22.1,20.4,52,19.5,6.6,12.8,34.1,0.31
179,"Mercyhurst Lakers",31,72.7,100,67.7,0.931,55.3,23.7,31.5,42.9,49.1,13.4,12.9,0.3,8.7,42.4,35.5,16.9,18.6,47.6,19.8,6.8,13,34.5,0.36
184,"Denver Pioneers",32,77.4,100,72,0.93,57.4,25.6,31.8,44.7,51,15.2,13.2,0.32,9.4,42.5,36.5,18.4,18.1,50.3,20.9,7.3,13.6,34.7,0.36
184,"Wisconsin-(Green Bay) Phoenix",32,74.8,100,69.5,0.93,53.9,23.2,30.7,43,50.5,15.8,14,0.36,10.4,42.1,29.1,15.1,14.1,51.7,24.8,8.1,16.7,32.7,0.46
184,"UCF Knights",37,85.1,100,79.2,0.93,63,26.7,36.3,42.4,49.4,14,14.1,0.35,10.3,42.3,36.6,17.9,18.8,48.8,26.4,8.8,17.5,33.5,0.42
184,"Saint Francis (PA) Red Flash",34,76.2,100,70.9,0.93,58,26.5,31.4,45.8,52.9,16.2,9.5,0.23,7,41.5,33.4,18.3,15.1,54.8,24.6,8.3,16.4,33.6,0.42
184,"Indiana Hoosiers",32,79.8,100,74.2,0.93,59.5,27.1,32.4,45.6,50.9,14.1,13.7,0.32,9.4,43.7,39.7,20.8,18.9,52.4,19.8,6.3,13.5,31.8,0.33
184,"Le Moyne Dolphins",32,79.2,100,73.7,0.93,56.7,25.8,30.9,45.4,52.4,16.7,13.8,0.36,9.8,42.8,33.1,17.8,15.3,53.9,23.6,7.9,15.7,33.6,0.42
184,"UTEP Miners",33,77.9,100,72.4,0.93,57.3,25,32.3,43.6,50,14,14.9,0.37,11.4,42.9,36.4,17.7,18.7,48.6,21,7.3,13.6,35,0.37
191,"Pepperdine Waves",34,78,100,72.5,0.929,59.8,26.3,33.5,44,49.9,12.8,12.5,0.3,9,42.7,39.1,19.2,19.9,49.2,20.7,7.1,13.6,34.1,0.35
191,"South Carolina State Bulldogs",33,84.6,100,78.6,0.929,59.2,27.1,32.1,45.8,51.8,16.3,15.9,0.41,11.3,43.8,39.2,20.1,19.2,51.1,19.9,7.1,12.9,35.4,0.34
193,"Wisconsin-(Milwaukee) Panthers",32,83.9,100,77.8,0.928,60.6,28.2,32.4,46.5,51.3,15,15.6,0.38,10.2,44,41.4,22.3,19.1,53.9,19.3,5.9,13.4,30.5,0.32
193,"Portland Pilots",32,78.2,100,72.5,0.928,57.7,25.1,32.6,43.5,50.9,15.6,12.7,0.31,8.7,41.4,33.1,16.6,16.4,50.3,24.7,8.5,16.2,34.5,0.43
195,"South Florida Bulls",32,80.1,100,74.3,0.927,59.7,26.3,33.4,44.1,50,13.3,13.8,0.34,9.3,43.4,37.3,19.2,18,51.6,22.4,7.1,15.3,31.5,0.38
195,"Richmond Spiders",32,71.9,100,66.7,0.927,54.8,22.8,32,41.6,48.8,13.1,12.7,0.31,9.2,41.7,29.5,15,14.5,50.8,25.3,7.8,17.5,30.9,0.46
195,"UMKC Kangaroos",33,77.9,100,72.2,0.927,58.1,24.8,33.3,42.6,50.2,14.3,12.7,0.32,8.1,41.6,32,15.9,16.1,49.8,26.1,8.8,17.3,33.8,0.45
195,"East Carolina Pirates",33,81.4,100,75.4,0.927,61.2,26.5,34.6,43.4,48.9,12.5,14.6,0.36,10.9,43.5,39.8,19.8,19.9,49.9,21.4,6.7,14.7,31.3,0.35
199,"Florida State Seminoles",32,80.3,100,74.4,0.926,57.7,26.1,31.6,45.2,50.5,14.9,15.4,0.39,11,44,38.2,19.9,18.2,52.3,19.5,6.1,13.4,31.4,0.34
199,"Marshall Thundering Herd",33,81.6,100,75.6,0.926,61.2,26.7,34.5,43.7,50.1,13.3,13.7,0.34,9.4,43.2,36.4,18.8,17.6,51.7,24.8,7.9,16.9,31.8,0.4
199,"Sacred Heart Pioneers",33,81.6,100,75.6,0.926,62.4,27.1,35.3,43.4,51.1,14.3,11.1,0.26,8.5,41.4,34.7,17.5,17.2,50.4,27.7,9.6,18.1,34.6,0.44
199,"UNLV Rebels",33,73.7,100,68.2,0.926,55,24,31,43.6,49.4,13.2,15,0.35,10.7,43,36,17.7,18.3,49.1,19.1,6.3,12.7,33.2,0.35
203,"San Diego State Aztecs",31,76.1,100,70.4,0.925,57.8,25.5,32.4,44.1,50.7,13.2,13.4,0.31,9.4,42.4,34.7,17.8,16.9,51.4,23.1,7.6,15.5,33.1,0.4
203,"Albany Great Danes",33,80.8,100,74.7,0.925,62.3,27.4,34.8,44,49.9,12.5,12.2,0.28,9.2,42.8,39.8,20.2,19.7,50.6,22.4,7.2,15.2,32.3,0.36
203,"Idaho State Bengals",30,80,100,74,0.925,60.7,26,34.7,42.8,48.9,12.5,13.9,0.33,9.9,42.5,37.9,18.6,19.3,49.1,22.8,7.4,15.4,32.3,0.38
206,"Southern Illinois Salukis",32,78,100,72.1,0.924,57.4,26.2,31.2,45.6,51.4,15.3,13.7,0.33,10.4,43.2,38.1,19.5,18.5,51.3,19.3,6.7,12.7,34.5,0.34
206,"Merrimack Warriors",33,70.8,100,65.5,0.924,56.2,23.8,32.4,42.4,49.5,11.8,10.3,0.24,7.7,41.5,31.9,15.9,16,49.8,24.3,7.9,16.3,32.7,0.43
206,"Providence Friars",32,77.1,100,71.3,0.924,57.4,25.2,32.2,43.9,52,15.3,11.8,0.29,8.6,41.2,31.2,15.9,15.3,51.1,26.2,9.3,16.9,35.4,0.46
206,"Army Black Knights",33,78.8,100,72.8,0.924,62,26.9,35,43.5,50.2,11.9,11,0.25,7.8,41.9,35.4,18.6,16.8,52.5,26.6,8.4,18.2,31.5,0.43
206,"Drexel Dragons",34,75.2,100,69.5,0.924,57.5,26.1,31.3,45.5,52,15.1,10.4,0.24,7.4,42.1,36.2,18.6,17.6,51.4,21.3,7.5,13.7,35.4,0.37
211,"Stetson Hatters",32,77.7,100,71.7,0.923,56.9,25.3,31.7,44.4,50.8,15.8,13.8,0.33,10.4,42.3,35.4,18,17.4,50.8,21.5,7.3,14.3,33.8,0.38
211,"Texas-(Rio Grande Valley) Vaqueros",31,82.4,100,76,0.923,63.5,28,35.5,44.1,52.3,15.3,9.3,0.21,7.2,40.7,31.3,17.5,13.8,55.9,32.2,10.5,21.7,32.5,0.51
213,"LSU Tigers",32,80,100,73.8,0.922,59.1,26.2,32.9,44.3,50.9,15.5,13,0.32,9.5,42,33.2,18.3,14.8,55.3,25.9,7.8,18.1,30.2,0.44
213,"Siena Saints",32,78.1,100,72,0.922,57.4,24.5,32.9,42.6,49.1,14.2,14.6,0.37,9.8,42,34.5,17,17.5,49.3,22.9,7.5,15.4,32.6,0.4
215,"Tennessee Tech Golden Eagles",32,78,100,71.8,0.921,58.9,25.3,33.7,42.8,51,14.5,11.6,0.29,8.8,40.8,31.3,15.7,15.6,50.1,27.6,9.6,18.1,34.6,0.47
215,"Wake Forest Demon Deacons",32,75.7,100,69.7,0.921,55.7,24.6,31.2,44.1,49.1,14.1,14.7,0.35,10.2,43.2,36.1,19,17.1,52.6,19.7,5.6,14.1,28.5,0.35
215,"North Carolina Central Eagles",33,84.3,100,77.6,0.921,60.9,27.4,33.5,44.9,50.9,15.2,14.7,0.37,11.1,43.1,39.8,20.1,19.7,50.5,21.2,7.3,13.9,34.4,0.35
215,"St. Bonaventure Bonnies",34,74.1,100,68.3,0.921,56.6,25,31.6,44.2,49.6,13.3,12.4,0.29,9.9,42.8,36.5,18.8,17.7,51.5,20.1,6.2,13.9,30.8,0.36
219,"UC Riverside Highlanders",34,80.4,100,74,0.92,62.1,26.4,35.7,42.5,49.7,13.2,11.2,0.26,8.1,41.2,35.6,17.4,18.2,48.9,26.5,8.9,17.5,33.8,0.43
219,"Cincinnati Bearcats",35,77,100,70.9,0.92,60.7,27.1,33.5,44.7,50.9,12.7,10.1,0.23,7.4,41.9,37.5,19.6,17.9,52.3,23.2,7.5,15.7,32.4,0.38
219,"Georgia State Panthers",33,81.2,100,74.8,0.92,61,27.1,33.9,44.4,50.2,13.6,13.4,0.32,10.4,43,40.2,20.1,20.2,49.9,20.8,7,13.8,33.8,0.34
219,"North Dakota Fighting Hawks",33,83.8,100,77.1,0.92,63.2,27.2,36,43.1,49.6,13.3,13.8,0.32,9.9,42.4,37.8,19,18.8,50.3,25.4,8.2,17.2,32.3,0.4
219,"Morgan State Bears",32,86.4,100,79.5,0.92,63.2,29.5,33.7,46.7,50.3,15.1,14,0.35,11.4,44.4,49.5,24.9,24.6,50.3,13.6,4.6,9,33.7,0.22
219,"Syracuse Orange",33,80.9,100,74.4,0.92,60,27.2,32.9,45.2,50.6,14.9,13.5,0.32,9.9,42.9,40.4,20.8,19.6,51.4,19.7,6.4,13.3,32.5,0.33
219,"East Tennessee State Buccaneers",32,78.1,100,71.8,0.92,59.2,25.4,33.7,43,50.2,12.9,13.1,0.32,9.6,42.1,34.9,17,17.9,48.7,24.3,8.5,15.8,34.9,0.41
226,"St. John's Red Storm",36,85,100,78.2,0.919,65.8,29.2,36.6,44.4,49,11.9,13.2,0.3,9.1,43.3,45.4,23.1,22.3,50.9,20.4,6.1,14.3,29.9,0.31
226,"Binghamton Bearcats",32,75.5,100,69.4,0.919,54.4,25,29.4,46,52.5,17,13.2,0.33,10.1,42.2,34.5,17.9,16.6,52,19.9,7.1,12.8,35.5,0.37
226,"Southeastern Louisiana Lions",32,78.9,100,72.5,0.919,58.7,25.8,32.9,44,49.1,14.1,13.7,0.34,10.7,43.3,40,19.7,20.3,49.2,18.6,6.1,12.5,32.7,0.32
229,"Vermont Catamounts",33,72.5,100,66.5,0.918,54.6,23.5,31,43.1,50.2,14.3,12.1,0.3,8.4,41.5,31.1,15.8,15.3,50.8,23.5,7.8,15.8,33,0.43
229,"Fairleigh Dickinson Knights",32,79.1,100,72.6,0.918,59.3,25.5,33.8,43,49.9,14,13.2,0.32,10,41.9,34.4,17.3,17.1,50.3,24.9,8.2,16.7,32.9,0.42
229,"Portland State Vikings",32,82.1,100,75.4,0.918,60.6,28.5,32.1,47,52.2,15,13.2,0.32,9.1,44,41.2,22.3,19,54,19.4,6.3,13.1,32.3,0.32
232,"Austin Peay Governors",33,77.3,100,70.9,0.917,60.1,25.1,35,41.7,48.7,12.1,12,0.28,9.6,41.5,35.6,16.7,18.9,46.9,24.5,8.4,16.2,34.2,0.41
232,"Harvard Crimson",27,74.3,100,68.1,0.917,56.5,25.1,31.4,44.4,50.8,15.4,10.3,0.25,7.6,41.6,34,17.8,16.2,52.3,22.5,7.3,15.2,32.4,0.4
232,"Utah Utes",33,81.8,100,75,0.917,59.7,26.5,33.2,44.4,51.5,14.8,14.3,0.36,10.6,42.3,33.6,18,15.6,53.5,26.1,8.5,17.6,32.6,0.44
235,"Washington Huskies",31,77.8,100,71.3,0.916,57.3,25.4,31.9,44.3,50.5,14.8,14.4,0.35,10.7,43,36.8,18.4,18.5,49.9,20.5,7,13.4,34.4,0.36
235,"West Virginia Mountaineers",32,74.2,100,68,0.916,57.6,24.4,33.2,42.4,49.9,13.3,10.7,0.25,8,40.6,31.3,15.8,15.5,50.5,26.3,8.7,17.7,32.9,0.46
235,"North Carolina State Wolfpack",31,75.5,100,69.2,0.916,57.9,24.5,33.4,42.3,48.1,12.2,13.6,0.32,11.2,42.5,36.9,17.8,19.1,48.3,21,6.7,14.3,32,0.36
238,"Stonehill College Skyhawks",32,74.7,100,68.4,0.915,55,23.7,31.4,43,50.8,15.4,12.4,0.31,9.3,41.4,30.8,15.1,15.7,49.1,24.3,8.6,15.7,35.3,0.44
238,"Canisius Golden Griffins",31,70.5,100,64.5,0.915,54.2,23.5,30.7,43.4,51,15.4,9.8,0.23,8.1,40.4,31.8,15.3,16.5,48.1,22.4,8.2,14.2,36.7,0.41
238,"Brown Bears",27,78.7,100,72,0.915,59.9,26.7,33.2,44.6,51.5,14,11.3,0.27,8.4,41.9,35.4,18.6,16.9,52.4,24.5,8.2,16.3,33.4,0.41
241,"Cal State Bakersfield Roadrunners",33,80.3,100,73.4,0.914,59.4,25.8,33.6,43.4,48.9,14.5,13.6,0.33,9.4,42.2,41.9,19.2,22.8,45.7,17.5,6.6,10.8,37.8,0.29
241,"Texas-(Arlington) Mavericks",31,80.5,100,73.5,0.914,57.8,25.6,32.2,44.3,51.7,15.8,14.2,0.36,9.6,41.7,33.1,16.9,16.1,51.2,24.7,8.6,16.1,34.9,0.43
